n.name,m.name,e
Acta1,Acta2,[:Interact]
Acta1,Actc1,[:Interact]
Acta2,Actc1,[:Interact]
Acta2,Myh14,[:Interact]
Acta2,Myl6,[:Interact]
Acta2,Pxn,[:Interact]
Acta2,Tln1,[:Interact]
Acta2,Vcl,[:Interact]
Actc1,Iqgap1,[:Interact]
Actc1,Slk,[:Interact]
Actc1,Tfrc,[:Interact]
Actn1,Itga5,[:Interact]
Actn1,Lmnb1,[:Interact]
Actn1,Vcl,[:Interact]
Actn1,Itga6,[:Interact]
Actn1,Itga2b,[:Interact]
Actr3b,Arpc3,[:Interact]
Alad,Hmbs,[:Interact]
Anxa5,Tln1,[:Interact]
Anxa5,Tuba4a,[:Interact]
Anxa5,Vcl,[:Interact]
Ap2b1,Ap2m1,[:Interact]
Ap2b1,Tfrc,[:Interact]
Ap2m1,Tfrc,[:Interact]
Arf5,Cope,[:Interact]
Arpc3,Myo1a,[:Interact]
Arpc3,Myo1c,[:Interact]
Arpc3,Myo5a,[:Interact]
Atp5b,D1Pas1,[:Interact]
Atp5b,Ddx3x,[:Interact]
Atp5b,Hspd1,[:Interact]
Bag3,Dnajb11,[:Interact]
Bag3,Hspa9,[:Interact]
Bag3,Hspb1,[:Interact]
Bag3,Ruvbl2,[:Interact]
C3,F2,[:Interact]
C3,Psap,[:Interact]
Cope,Napa,[:Interact]
Cope,Sptan1,[:Interact]
Cs,Hadhb,[:Interact]
Cs,Suclg2,[:Interact]
Ctsb,Ctsl,[:Interact]
D1Pas1,Ddx3x,[:Interact]
D1Pas1,Eif3a,[:Interact]
D1Pas1,Rps13,[:Interact]
Ddx3x,Eif3a,[:Interact]
Ddx3x,Rps13,[:Interact]
Dnajb11,P4hb,[:Interact]
Dnajb11,Ruvbl2,[:Interact]
Dnajb11,Sdf2l1,[:Interact]
Dnajb11,Ppib,[:Interact]
Dnajb11,Pdia4,[:Interact]
Ehd1,Ehd4,[:Interact]
Eif3a,Eif5b,[:Interact]
Eif3a,Rack1,[:Interact]
Eif3a,Rps13,[:Interact]
Eif5a,Rack1,[:Interact]
Eif5a,Rpl14,[:Interact]
Eif5a,Rpl22,[:Interact]
Eif5a,Rpl23a,[:Interact]
Eif5a,Rpl24,[:Interact]
Eif5a,Rpl30,[:Interact]
Eif5a,Rpl32,[:Interact]
Eif5a,Rps13,[:Interact]
Eif5b,Rack1,[:Interact]
Eif5b,Rpl14,[:Interact]
Eif5b,Rpl22,[:Interact]
Eif5b,Rpl23a,[:Interact]
Eif5b,Rpl24,[:Interact]
Eif5b,Rpl30,[:Interact]
Eif5b,Rpl32,[:Interact]
Eif5b,Rps13,[:Interact]
Ero1l,P4hb,[:Interact]
F2,Htra2,[:Interact]
Gna13,Gnaq,[:Interact]
Gna13,Gnas,[:Interact]
Gna13,Gnat1,[:Interact]
Gnaq,Gnas,[:Interact]
Gnaq,Gnat1,[:Interact]
Gnaq,Rras2,[:Interact]
Gnas,Gnat1,[:Interact]
Hadhb,Suclg2,[:Interact]
Hspa9,Hspd1,[:Interact]
Iqgap1,Pak1,[:Interact]
Iqgap1,Pak2,[:Interact]
Iqgap1,Slk,[:Interact]
Iqgap1,Sptan1,[:Interact]
Iqgap1,Tfrc,[:Interact]
Iqgap1,Tln1,[:Interact]
Iqgap1,Vcl,[:Interact]
Itga5,Lyn,[:Interact]
Itga5,Pxn,[:Interact]
Itga5,Tln1,[:Interact]
Kpna4,Kpnb1,[:Interact]
Krt5,Krt75,[:Interact]
Lman2,Napa,[:Interact]
Ltf,Tfrc,[:Interact]
